lr-Adam,lr-Adam-1,step,train/kl_loss_step,train/loss/total_step,train/loss/nll_step,train/loss/rec_step,train/loss/g_step,train/scalars/logvar_step,train/scalars/d_weight_step,train/loss/disc_step,train/logits/real_step,train/logits/fake_step,epoch,train/kl_loss_epoch,train/loss/total_epoch,train/loss/nll_epoch,train/loss/rec_epoch,train/loss/g_epoch,train/scalars/logvar_epoch,train/scalars/d_weight_epoch,train/loss/disc_epoch,train/logits/real_epoch,train/logits/fake_epoch,val/loss/rec,val/kl_loss,val/loss/total,val/loss/nll,val/loss/g,val/scalars/logvar,val/scalars/d_weight,val/loss/disc,val/logits/real,val/logits/fake,val/metrics/psnr,val/metrics/ssim,val_ema/loss/rec,val_ema/kl_loss,val_ema/loss/total,val_ema/loss/nll,val_ema/loss/g,val_ema/scalars/logvar,val_ema/scalars/d_weight,val_ema/loss/disc,val_ema/logits/real,val_ema/logits/fake,val_ema/metrics/psnr,val_ema/metrics/ssim
,,1999,448.01629638671875,20499.1015625,20051.0859375,0.30928725004196167,0.0,-0.004829190671443939,0.0,0.0,-0.11083984375,-0.08447265625,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2039,,,,,,,,,,,4,,,,,,,,,,,0.3255331218242645,446.80682373046875,21563.451171875,21116.54296875,0.10055096447467804,-0.0049286773428320885,1.0,1.0836776494979858,-0.12818525731563568,-0.10055096447467804,16.68523597717285,0.26573818922042847,0.32578346133232117,446.80682373046875,21579.931640625,21133.025390625,0.09990530461072922,-0.0049286773428320885,1.0,1.0833333730697632,-0.12818525731563568,-0.09990530461072922,16.688772201538086,0.2654914855957031
,,2039,,,,,,,,,,,4,426.5675048828125,21834.26953125,21407.69921875,0.3296319246292114,0.0,-0.004444150719791651,0.0,0.0,-0.10672774910926819,-0.10545917600393295,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2049,489.01666259765625,21440.603515625,20951.5859375,0.323041170835495,0.0,-0.004947592504322529,0.0,0.0,-0.1123046875,-0.11181640625,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2099,410.2528381347656,20737.0,20326.748046875,0.3136347830295563,0.0,-0.005066212732344866,0.0,0.0,-0.10302734375,-0.1181640625,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2149,469.3739013671875,21808.517578125,21339.14453125,0.32908326387405396,0.0,-0.0051842425018548965,0.0,0.0,-0.1044921875,-0.09423828125,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2199,481.19940185546875,21630.130859375,21148.931640625,0.32627466320991516,0.0,-0.00530213164165616,0.0,0.0,-0.1005859375,-0.10546875,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2249,440.87445068359375,20872.294921875,20431.419921875,0.31546422839164734,0.0,-0.00541993323713541,0.0,0.0,-0.1064453125,-0.099609375,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2299,452.22802734375,20918.943359375,20466.71484375,0.3160800337791443,0.0,-0.005538098514080048,0.0,0.0,-0.1103515625,-0.109375,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2349,462.18585205078125,21188.03515625,20725.849609375,0.3200918436050415,0.0,-0.005656098015606403,0.0,0.0,-0.10400390625,-0.10888671875,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2399,473.76434326171875,21071.0703125,20597.306640625,0.3182216286659241,0.0,-0.005774576682597399,0.0,0.0,-0.09619140625,-0.0732421875,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2447,,,,,,,,,,,5,464.1530456542969,21143.97265625,20679.818359375,0.31922709941864014,0.0,-0.005408372730016708,0.0,0.0,-0.10600250959396362,-0.10653866082429886,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2449,443.81378173828125,20338.9375,19895.123046875,0.30764997005462646,0.0,-0.005892768036574125,0.0,0.0,-0.10400390625,-0.1064453125,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2499,497.42724609375,20895.869140625,20398.44140625,0.3153649568557739,0.0,-0.006010720506310463,0.0,0.0,-0.10302734375,-0.09716796875,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2549,524.22900390625,20379.197265625,19854.96875,0.30720287561416626,0.0,-0.006128590553998947,0.0,0.0,-0.1015625,-0.0888671875,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2599,485.5739440917969,20874.90234375,20389.328125,0.3153868317604065,0.0,-0.006246692035347223,0.0,0.0,-0.1025390625,-0.11328125,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2649,467.27581787109375,19284.5078125,18817.232421875,0.2916305661201477,0.0,-0.006364294793456793,0.0,0.0,-0.10205078125,-0.10498046875,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2699,514.244873046875,20614.474609375,20100.23046875,0.3111638128757477,0.0,-0.006482216529548168,0.0,0.0,-0.111328125,-0.09130859375,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2749,515.2860107421875,20377.09765625,19861.8125,0.30762994289398193,0.0,-0.006599740125238895,0.0,0.0,-0.10400390625,-0.1162109375,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2799,530.105224609375,20018.501953125,19488.396484375,0.30205076932907104,0.0,-0.006717226002365351,0.0,0.0,-0.11865234375,-0.1162109375,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2849,503.33367919921875,20034.865234375,19531.53125,0.3027856945991516,0.0,-0.006834749598056078,0.0,0.0,-0.1015625,-0.1064453125,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2855,,,,,,,,,,,6,509.64739990234375,20618.130859375,20108.482421875,0.31121358275413513,0.0,-0.006371224764734507,0.0,0.0,-0.10615091025829315,-0.10784552991390228,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2899,510.06768798828125,20360.388671875,19850.3203125,0.3076973855495453,0.0,-0.006952156312763691,0.0,0.0,-0.1044921875,-0.0986328125,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2949,518.1484985351562,20360.26171875,19842.11328125,0.3076537251472473,0.0,-0.007069926708936691,0.0,0.0,-0.10595703125,-0.10693359375,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2999,545.1998901367188,20282.5546875,19737.35546875,0.3061472177505493,0.0,-0.007187485694885254,0.0,0.0,-0.10205078125,-0.1025390625,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,3049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3049,537.2322998046875,20151.0390625,19613.806640625,0.30435633659362793,0.0,-0.007304822094738483,0.0,0.0,-0.1015625,-0.10400390625,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
