lr-Adam,lr-Adam-1,step,train/kl_loss_step,train/loss/total_step,train/loss/nll_step,train/loss/rec_step,train/loss/g_step,train/scalars/logvar_step,train/scalars/d_weight_step,train/loss/disc_step,train/logits/real_step,train/logits/fake_step,epoch,train/kl_loss_epoch,train/loss/total_epoch,train/loss/nll_epoch,train/loss/rec_epoch,train/loss/g_epoch,train/scalars/logvar_epoch,train/scalars/d_weight_epoch,train/loss/disc_epoch,train/logits/real_epoch,train/logits/fake_epoch,val/loss/rec,val/kl_loss,val/loss/total,val/loss/nll,val/loss/g,val/scalars/logvar,val/scalars/d_weight,val/loss/disc,val/logits/real,val/logits/fake,val/metrics/psnr,val/metrics/ssim,val_ema/loss/rec,val_ema/kl_loss,val_ema/loss/total,val_ema/loss/nll,val_ema/loss/g,val_ema/scalars/logvar,val_ema/scalars/d_weight,val_ema/loss/disc,val_ema/logits/real,val_ema/logits/fake,val_ema/metrics/psnr,val_ema/metrics/ssim
,,2039,,,,,,,,,,,4,479.9092102050781,2258.0546875,1778.145263671875,0.11238516122102737,0.0,-0.004344994202256203,0.0,0.0,-0.4883423149585724,-0.4895276427268982,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2049,487.0857849121094,2299.003662109375,1811.91796875,0.11487273871898651,0.0,-0.00483928807079792,0.0,0.0,-0.4872432053089142,-0.4919944107532501,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2099,477.63995361328125,2162.51416015625,1684.874267578125,0.10725876688957214,0.0,-0.004954999778419733,0.0,0.0,-0.4916383922100067,-0.4966390132904053,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2149,475.50372314453125,2138.330810546875,1662.8270263671875,0.10602276027202606,0.0,-0.00507084745913744,0.0,0.0,-0.4938587248325348,-0.4898347556591034,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2199,485.2814025878906,2226.4462890625,1741.164794921875,0.11088225245475769,0.0,-0.005186572205275297,0.0,0.0,-0.49085649847984314,-0.4958815276622772,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
